Region,Market,Chart,Name,Unit,Source,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031
Germany,Socioeconomic Indicators,Population By Income Share,40% Median Income,percent,Statista Market Insights|World Bank,,4.8,4.67,4.7,4.72,4.75,4.77,4.8,4.82,4.84,4.87,4.89
France,Socioeconomic Indicators,Population By Income Share,40% Median Income,percent,Statista Market Insights|World Bank,,6.94,7.8,7.55,7.43,7.32,7.23,7.15,7.09,7.03,6.97,6.92
Germany,Socioeconomic Indicators,GINI Coefficient,GINI Coefficient,index,Statista Market Insights|ILO,,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32
France,Socioeconomic Indicators,GINI Coefficient,GINI Coefficient,index,Statista Market Insights|ILO,,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32
Germany,Socioeconomic Indicators,Poverty Share,$6.85 a Day,percent,Statista Market Insights|World Bank,,0.5,0.51,0.51,0.51,0.51,0.52,0.52,0.52,0.53,0.53,0.54
France,Socioeconomic Indicators,Poverty Share,$6.85 a Day,percent,Statista Market Insights|World Bank,,0.6,0.4,0.3,0.29,0.3,0.31,0.31,0.32,0.32,0.33,0.33
Germany,Socioeconomic Indicators,Poverty Share,$2.15 a Day,percent,Statista Market Insights|World Bank,,0,0,0,0,0,0,0,0,0,0,0
France,Socioeconomic Indicators,Poverty Share,$2.15 a Day,percent,Statista Market Insights|World Bank,,0.1,0.1,0.1,0.12,0.14,0.16,0.18,0.2,0.22,0.24,0.26
Germany,Socioeconomic Indicators,Poverty Share,$3.65 a Day,percent,Statista Market Insights|World Bank,,0.24,0.25,0.27,0.29,0.31,0.33,0.35,0.37,0.39,0.41,0.43
France,Socioeconomic Indicators,Poverty Share,$3.65 a Day,percent,Statista Market Insights|World Bank,,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Germany,Socioeconomic Indicators,Poverty Headcount,$6.85 a Day,thousand #,Statista Market Insights|World Bank,,418.49,428.84,431.2,431.22,428.78,434.95,433.9,432.79,439.93,438.74,445.78
France,Socioeconomic Indicators,Poverty Headcount,$6.85 a Day,thousand #,Statista Market Insights|World Bank,,396.5,265.11,199.32,192.99,199.95,206.91,207.2,214.17,214.46,221.46,221.74
Germany,Socioeconomic Indicators,Poverty Headcount,$3.65 a Day,thousand #,Statista Market Insights|World Bank,,200.87,210.22,228.28,245.2,260.63,276.03,292.05,307.95,323.72,339.4,354.98
France,Socioeconomic Indicators,Poverty Headcount,$3.65 a Day,thousand #,Statista Market Insights|World Bank,,132.17,66.28,66.44,66.55,66.65,66.75,66.84,66.93,67.02,67.11,67.2
Germany,Socioeconomic Indicators,Poverty Headcount,$2.15 a Day,thousand #,Statista Market Insights|World Bank,,0,0,0,0,0,0,0,0,0,0,0
France,Socioeconomic Indicators,Poverty Headcount,$2.15 a Day,thousand #,Statista Market Insights|World Bank,,66.08,66.28,66.44,79.86,93.31,106.79,120.31,133.86,147.44,161.06,174.71
