Region,Market,Chart,Name,Unit,Source,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031
Germany,Consumption Indicators,Disposable Income by Decile - Per Capita,Decile 1,thousand EUR (€),Statista Market Insights|World Bank|OECD|Eurostat|World Bank PovcalNet|WID - World Inequality Database,3.71,5.18,5.32,5.81,6.49,7.02,7.33,7.61,7.89,8.13,8.33
France,Consumption Indicators,Disposable Income by Decile - Per Capita,Decile 1,thousand EUR (€),Statista Market Insights|World Bank|OECD|Eurostat|World Bank PovcalNet|WID - World Inequality Database,4.29,4.86,5.22,5.49,5.98,6.44,6.73,7.03,7.35,7.65,7.94
Germany,Consumption Indicators,Consumer Spending - Total,Consumer Spending - Total,trillion EUR (€),Statista Market Insights|World Bank|IMF|UN|Eurostat,1.79,1.98,2.09,2.14,2.29,2.43,2.51,2.58,2.65,2.72,2.77
France,Consumption Indicators,Consumer Spending - Total,Consumer Spending - Total,trillion EUR (€),Statista Market Insights|World Bank|IMF|UN|Eurostat,1.32,1.41,1.51,1.56,1.66,1.76,1.81,1.86,1.92,1.98,2.03
Germany,Consumption Indicators,Consumer Spending - Food,Consumer Spending - Food,thousand EUR (€),Statista Market Insights|World Bank|IMF|UN|Eurostat,2.5,2.71,2.83,2.9,3.13,3.34,3.44,3.55,3.66,3.75,3.84
France,Consumption Indicators,Consumer Spending - Food,Consumer Spending - Food,thousand EUR (€),Statista Market Insights|World Bank|IMF|UN|Eurostat,2.76,2.82,3.04,3.15,3.37,3.58,3.69,3.8,3.93,4.05,4.15
Germany,Consumption Indicators,Consumer Spending - Housing,Consumer Spending - Housing,thousand EUR (€),Statista Market Insights|World Bank|IMF|UN|Eurostat,5.43,5.79,6.11,6.28,6.78,7.23,7.48,7.73,7.98,8.21,8.42
France,Consumption Indicators,Consumer Spending - Housing,Consumer Spending - Housing,thousand EUR (€),Statista Market Insights|World Bank|IMF|UN|Eurostat,5.5,5.58,5.98,6.2,6.63,7.02,7.23,7.45,7.68,7.91,8.12
Germany,Consumption Indicators,Consumer Spending - Healthcare,Consumer Spending - Healthcare,thousand EUR (€),Statista Market Insights|World Bank|IMF|UN|Eurostat,1.2,1.24,1.31,1.36,1.48,1.59,1.66,1.72,1.79,1.85,1.91
France,Consumption Indicators,Consumer Spending - Healthcare,Consumer Spending - Healthcare,thousand EUR (€),Statista Market Insights|World Bank|IMF|UN|Eurostat,0.83,0.85,0.92,0.95,1.01,1.07,1.1,1.14,1.17,1.2,1.24
